Date,Amount,Transaction
24/10/2024,-3.4,EFTPOS PAYPAL *xxx      SYDNEY       AU
16/02/2026,-2.03,EzyMart Cntrl Nth Con     
27/01/2026,-21.15,WOOLWORTHS/GREAT WESTERN  
27/08/2025,-8.01,ALDI STORES    
05/09/2024,-3.4,EFTPOS PAYPAL *xxx      SYDNEY       AU
16/10/2025,7216.0,TRANSFER FROM xxx
11/06/2025,-40.0,TARGET 5144    
01/07/2025,-20.0,KMART 1146     
03/01/2025,-19.0,OFFICEWORKS 0307          
17/04/2025,-1000.0,xxx MOBILE BANKING PAYMENT 325233 TO 
22/04/2026,-17.03,JUST RIPE NORTHLAND       
14/07/2025,-303.49,BODY SCULPTING CLINIC     
14/07/2025,-1500.0,xxx BANKING FUNDS TFER TRANSFER 915296  TO  012361223412483
31/12/2025,-50.86,VIRGIN AUSTR7954426132572 
01/10/2024,-16.04,UBER   *TRIP              SYDNEY
07/03/2025,-5.4,EFTPOS PAYPAL *xxx      SYDNEY       AU
03/03/2026,-7.0,COLES 7663     
18/11/2024,-14.9,Uniqlo Northland          xxx
24/02/2025,-3.4,EFTPOS PAYPAL *xxx      SYDNEY       AU
16/08/2024,-399.0,xxx BANKING FUNDS TFER TRANSFER 767033  TO CC
31/10/2025,5.0,REVERSAL OF ACCOUNT SERVICING FEE MINIMUM $2000 IN DEPOSITS RECEIVED
07/10/2024,-31.9,VISA DEBIT PURCHASE CARD 6585 PAYPAL *TOTALAV 35314369001
26/11/2025,-39.65,ALDI STORES               
04/11/2024,2067.63,TRANSFER FROM   463
31/07/2024,-5.0,ACCOUNT SERVICING FEE
24/02/2026,-10.4,TONG LI SUPERMARKETS
21/01/2026,-14.55,TONG LI SUPERMARKETS
21/01/2026,-111.17,VIRGIN AUSTR7954426695619 
17/03/2025,-5.0,JAMAICA BLUE NORTHLAN     xxx
31/03/2025,2375.63,TRANSFER FROM CBA  512
30/09/2024,-5.0,ACCOUNT SERVICING FEE
08/12/2025,-2.54,EzyMart Central Stn       
15/05/2025,-37.31,ALDI STORES - xxx    
23/07/2025,-37.84,ALDI STORES    
31/07/2024,5.0,REVERSAL OF ACCOUNT SERVICING FEE MINIMUM $2000 IN DEPOSITS RECEIVED
19/01/2026,-6.8,WOOLWORTHS/GREAT WESTERN  
25/05/2026,-19.45,WOOLWORTHS/WESTFIELD CAMP 
18/11/2025,-992.0,xxx BANKING FUNDS TFER TRANSFER 430355  TO CC
11/11/2024,2167.63,TRANSFER FROM CBA  465
04/04/2025,-121.8,ORIGIN ENERGY             
